SourceFile,EXIF_BitsPerSample,XMP_BitsPerSample
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1940.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1940_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1947.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1947_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1952.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1952_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1953.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1953_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1964.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1964_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1991.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1991_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1999.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1999_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2009.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2009_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2018.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2018_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2019.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2019_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2031.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2031_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2032.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2032_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2035.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2035_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2036.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2036_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2020-1246.tif,8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2020-1246_verso.tif,8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2020-1744.tif,16,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2020-1744_verso.tif,8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2020-1926.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2020-1926_verso.tif,8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-142.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-149.tif,16,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-149_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-1742.tif,16,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-4272.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-4273.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-4274.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-4276.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-4277.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-4294.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-4391.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-6020.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-6024.tif,8,8
