Headline,ObjectName,SpecialInstructions,CopyrightNotice,Caption-Abstract,Source,By-line,By-lineTitle,Credit,Writer-Editor
,,, ,,,,,,
[Title],[Accession No],[Date],[Restrictions],[Description],[Related Collection],[Photographer],[Institutional Creator],,
Harry S. Truman Sits on a Piano,64-1869,1945,Undetermined,Harry S. Truman sits on a piano while a unidentified girl plays and sings. This is a faked photograph.,"McKim, Edward D. Papers",,,Harry S. Truman Library,
"Lauren Bacall on Piano, Truman Playing",89-45,"Saturday, 02/10/1945",Restricted,Vice-President Harry S. Truman accompanies actress Lauren Bacall on the piano at the National Press Club canteen. ,,,Associated Press,Harry S. Truman Library,
President Truman and Sergeant Eugene List,59-1079,"Friday, 01/04/1946",Restricted,President Harry S. Truman receiving a copy of sheet music by Chopin,,,International News Service,Harry S. Truman Library,
